Portfolio,Sharpe Ratio,Sortino Ratio
Aggressive_1,0.5844815112470904,0.8393817372452107
Aggressive_2,0.5058144773693983,0.7076736450558148
Aggressive_3,0.5768501214036016,0.8149375614566936
Aggressive_4,0.5844815112470904,0.8393817372452107
Aggressive_5,0.5844815112470904,0.8393817372452107
Aggressive_6,0.5768501214036016,0.8149375614566936
Aggressive_7,0.5828743466304502,0.8526059691501556
Aggressive_8,0.5844815112470904,0.8393817372452107
Aggressive_9,0.5768501214036016,0.8149375614566936
Aggressive_10,0.5844815112470904,0.8393817372452107
Aggressive_11,0.5844815112470904,0.8393817372452107
Aggressive_12,0.6116860478168286,0.9192595176947437
Aggressive_13,0.5844815112470904,0.8393817372452107
Aggressive_14,0.6116860478168286,0.9192595176947437
Aggressive_15,0.5844815112470904,0.8393817372452107
Aggressive_16,0.6116860478168286,0.9192595176947437
Aggressive_17,0.5768501214036016,0.8149375614566936
Aggressive_18,0.5844815112470904,0.8393817372452107
Aggressive_19,0.5844815112470904,0.8393817372452107
Aggressive_20,0.5058144773693983,0.7076736450558148
