Portfolio,Annualized Return (%),Annualized Volatility (%),Sharpe Ratio
1,11.22744442417403,14.092577248689958,0.5214959419533707
2,11.271411280683306,14.855747047810755,0.4862356292248101
3,11.321610039371835,15.81567785195256,0.4499593551374498
4,9.353692988726635,11.039571818698318,0.5903470496567209
5,10.089751452004034,11.803133565021149,0.5748184040911525
6,6.734175307389949,6.977103998025467,0.6026714235130651
7,7.20716760126751,7.814159850973837,0.5928327164347122
8,7.352809596641545,8.063324383247803,0.5800783971817703
9,5.630455049995931,6.109551651903876,0.4987566115179272
10,5.870241206718008,7.100091762439511,0.4680328365438523
11,7.506515638950503,8.69868482747754,0.5564899074744152
12,6.683225404324873,7.14471219257755,0.5761056912759638
13,8.005545725372954,8.709753448706104,0.5828743466304502
14,7.967956707223364,9.96616095221045,0.4959514180868614
15,8.335947421402512,10.020251480844362,0.5210789327376597
16,8.675004263783885,11.118637429799325,0.4903943474678911
17,8.973908809571371,11.075433430510495,0.5094584786233795
18,10.459340595345283,12.264483422037875,0.5650019032074286
19,8.180158279089603,10.929805942200735,0.4484051237275229
20,9.407780435905206,12.323898989695964,0.4809529828476602
21,9.632555852575448,12.175844199133564,0.4965388738784609
22,11.02738850956694,13.227883668945143,0.5395473596576289
23,9.159255572684556,12.201015942290104,0.4525801654745219
24,10.167643507565916,13.576135688891464,0.4701083739829778
25,10.312839623380327,13.314656847643183,0.4836694749563434
26,10.720002074813696,15.074294386225674,0.4463779617265764
27,10.18342022115945,13.775824188317896,0.4479420246299193
28,10.955930417519289,14.869254409248772,0.459159307492556
29,11.01569736833548,14.485876751055647,0.471487286554286
30,5.847087966533037,6.1902080799604535,0.5281713773593212
31,6.039258562445945,6.906835419670221,0.5072103095525645
32,6.065638383531584,6.323591993582263,0.5535374558542152
33,6.209983209548899,6.79118550967787,0.542343439142452
34,6.286087530943011,6.504337781211931,0.5744282992160141
35,6.382435407199302,6.762729191804285,0.5710195957808921
36,8.08112093618927,8.845335940117186,0.5963469220238555
37,6.508415980738228,6.724351573330551,0.5907215684786705
38,6.556635441304248,6.824326626160978,0.5913726263438677
39,6.463030998788108,6.718503147567764,0.5860292544044087
40,6.215301522473048,7.894913165153904,0.4700266153992908
41,10.168481123548426,12.937669886311069,0.5066128753892619
42,8.424296227626705,9.44276847461477,0.5844815112470904
43,6.732603642655312,6.9778147656477065,0.6025768901462408
44,9.285739057212476,10.967583115864247,0.5669405695032524
45,9.391082006581296,11.24232680689019,0.55767928284011
46,9.529371258643163,11.352768023252503,0.561307524017387
47,9.657954717913206,11.980307078576551,0.5342694047670821
48,9.94166133458737,12.011417701097589,0.5514155460536732
49,9.930108027002644,12.783707203344456,0.5113135339387127
50,10.36194928981373,12.68891516359962,0.5412924594277658
51,10.207863774180732,13.643384019013952,0.4894539463743463
52,10.790467006914598,13.383231406562372,0.5312534318637857
53,10.491541875817736,14.550992780179786,0.4690107935404538
54,9.288668426123646,10.954129396415803,0.5681148703460851
55,8.753471089686855,9.762954738227489,0.5915302082341144
56,6.763930726380964,7.318919468902287,0.5758621945087529
57,7.209425538085775,7.868443252449471,0.5873356906522095
58,7.846301419499728,9.487178716645788,0.5383666044257834
59,9.07223796303825,11.626116254470606,0.5190253257632983
60,9.476853940931033,12.273300531272314,0.5135341172385076
61,7.573234488022866,10.12828855209011,0.4802999440005662
62,8.68654393988922,10.24774026238238,0.5679008931399023
63,8.52394842422295,11.702877249980606,0.4907559873063047
64,9.008949217989736,12.51846967648,0.4908006608698383
65,9.500092014478518,13.351757776915324,0.4887603737682513
66,9.99714737821931,14.201667856677268,0.4853634788950839
