Portfolio,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio
1,0.08475562748753052,0.12051870202122635,0.5681148703460851,0.8210242416109763
2,0.09448956170834655,0.15911198790938302,0.5214959419533707,0.7212852039494883
3,0.08680687377348795,0.11921254365902226,0.5903470496567209,0.8395900692808307
4,0.09078066281401043,0.13136598231257107,0.5748184040911525,0.8708214760520964
5,0.09211929969057797,0.16972646922914364,0.4862356292248101,0.6636911752232927
6,0.06605817680857995,0.07741307453227751,0.6026714235130651,0.9056829335350012
7,0.06982652871458805,0.08585977699657692,0.5928327164347122,0.8522941259117295
8,0.07068144456748615,0.08960184400887984,0.5800783971817703,0.8412342114382577
9,0.07365957857144134,0.10449405546019455,0.5383666044257834,0.7728652374596061
10,0.06568335102988443,0.0808722885668926,0.5758621945087529,0.8098332925522066
