Portfolio ID,GLD,QQQ,TLT,SCHD,SPY
Defensive_1,0.2474,0.2534,0.2157,0.2835,0.0
Defensive_2,0.1981,0.2029,0.1727,0.227,0.1993
Defensive_3,0.2485,0.0,0.2167,0.2847,0.2501
Defensive_4,0.1981,0.2029,0.1727,0.227,0.1993
Defensive_5,0.1981,0.2029,0.1727,0.227,0.1993
Defensive_6,0.1981,0.2029,0.1727,0.227,0.1993
Defensive_7,0.2562,0.2625,0.2234,0.0,0.2579
Defensive_8,0.1981,0.2029,0.1727,0.227,0.1993
Defensive_9,0.1981,0.2029,0.1727,0.227,0.1993
Defensive_10,0.1981,0.2029,0.1727,0.227,0.1993
Defensive_11,0.1981,0.2029,0.1727,0.227,0.1993
Defensive_12,0.2394,0.2452,0.0,0.2745,0.2409
Defensive_13,0.1981,0.2029,0.1727,0.227,0.1993
Defensive_14,0.2562,0.2625,0.2234,0.0,0.2579
Defensive_15,0.1981,0.2029,0.1727,0.227,0.1993
Defensive_16,0.1981,0.2029,0.1727,0.227,0.1993
Defensive_17,0.1981,0.2029,0.1727,0.227,0.1993
Defensive_18,0.1981,0.2029,0.1727,0.227,0.1993
Defensive_19,0.1981,0.2029,0.1727,0.227,0.1993
Defensive_20,0.2562,0.2625,0.2234,0.0,0.2579
