컬럼명,데이터 개수 (결측치 제외),데이터 타입
id,2260701,object
member_id,0,float64
loan_amnt,2260668,float64
funded_amnt,2260668,float64
funded_amnt_inv,2260668,float64
term,2260668,object
int_rate,2260668,float64
installment,2260668,float64
grade,2260668,object
sub_grade,2260668,object
emp_title,2093699,object
emp_length,2113761,object
home_ownership,2260668,object
annual_inc,2260664,float64
verification_status,2260668,object
issue_d,2260668,object
loan_status,2260668,object
pymnt_plan,2260668,object
url,2260668,object
desc,126065,object
purpose,2260668,object
title,2237342,object
zip_code,2260667,object
addr_state,2260668,object
dti,2258957,float64
delinq_2yrs,2260639,float64
earliest_cr_line,2260639,object
fico_range_low,2260668,float64
fico_range_high,2260668,float64
inq_last_6mths,2260638,float64
mths_since_last_delinq,1102166,float64
mths_since_last_record,359156,float64
open_acc,2260639,float64
pub_rec,2260639,float64
revol_bal,2260668,float64
revol_util,2258866,float64
total_acc,2260639,float64
initial_list_status,2260668,object
out_prncp,2260668,float64
out_prncp_inv,2260668,float64
total_pymnt,2260668,float64
total_pymnt_inv,2260668,float64
total_rec_prncp,2260668,float64
total_rec_int,2260668,float64
total_rec_late_fee,2260668,float64
recoveries,2260668,float64
collection_recovery_fee,2260668,float64
last_pymnt_d,2258241,object
last_pymnt_amnt,2260668,float64
next_pymnt_d,915358,object
last_credit_pull_d,2260596,object
last_fico_range_high,2260668,float64
last_fico_range_low,2260668,float64
collections_12_mths_ex_med,2260523,float64
mths_since_last_major_derog,580775,float64
policy_code,2260668,float64
application_type,2260668,object
annual_inc_joint,120710,float64
dti_joint,120706,float64
verification_status_joint,115730,object
acc_now_delinq,2260639,float64
tot_coll_amt,2190392,float64
tot_cur_bal,2190392,float64
open_acc_6m,1394538,float64
open_act_il,1394539,float64
open_il_12m,1394539,float64
open_il_24m,1394539,float64
mths_since_rcnt_il,1350744,float64
total_bal_il,1394539,float64
il_util,1191818,float64
open_rv_12m,1394539,float64
open_rv_24m,1394539,float64
max_bal_bc,1394539,float64
all_util,1394320,float64
total_rev_hi_lim,2190392,float64
inq_fi,1394539,float64
total_cu_tl,1394538,float64
inq_last_12m,1394538,float64
acc_open_past_24mths,2210638,float64
avg_cur_bal,2190322,float64
bc_open_to_buy,2185733,float64
bc_util,2184597,float64
chargeoff_within_12_mths,2260523,float64
delinq_amnt,2260639,float64
mo_sin_old_il_acct,2121597,float64
mo_sin_old_rev_tl_op,2190391,float64
mo_sin_rcnt_rev_tl_op,2190391,float64
mo_sin_rcnt_tl,2190392,float64
mort_acc,2210638,float64
mths_since_recent_bc,2187256,float64
mths_since_recent_bc_dlq,519701,float64
mths_since_recent_inq,1965233,float64
mths_since_recent_revol_delinq,740359,float64
num_accts_ever_120_pd,2190392,float64
num_actv_bc_tl,2190392,float64
num_actv_rev_tl,2190392,float64
num_bc_sats,2202078,float64
num_bc_tl,2190392,float64
num_il_tl,2190392,float64
num_op_rev_tl,2190392,float64
num_rev_accts,2190391,float64
num_rev_tl_bal_gt_0,2190392,float64
num_sats,2202078,float64
num_tl_120dpd_2m,2107011,float64
num_tl_30dpd,2190392,float64
num_tl_90g_dpd_24m,2190392,float64
num_tl_op_past_12m,2190392,float64
pct_tl_nvr_dlq,2190237,float64
percent_bc_gt_75,2185289,float64
pub_rec_bankruptcies,2259303,float64
tax_liens,2260563,float64
tot_hi_cred_lim,2190392,float64
total_bal_ex_mort,2210638,float64
total_bc_limit,2210638,float64
total_il_high_credit_limit,2190392,float64
revol_bal_joint,108020,float64
sec_app_fico_range_low,108021,float64
sec_app_fico_range_high,108021,float64
sec_app_earliest_cr_line,108021,object
sec_app_inq_last_6mths,108021,float64
sec_app_mort_acc,108021,float64
sec_app_open_acc,108021,float64
sec_app_revol_util,106184,float64
sec_app_open_act_il,108021,float64
sec_app_num_rev_accts,108021,float64
sec_app_chargeoff_within_12_mths,108021,float64
sec_app_collections_12_mths_ex_med,108021,float64
sec_app_mths_since_last_major_derog,35942,float64
hardship_flag,2260668,object
hardship_type,10917,object
hardship_reason,10917,object
hardship_status,10917,object
deferral_term,10917,float64
hardship_amount,10917,float64
hardship_start_date,10917,object
hardship_end_date,10917,object
payment_plan_start_date,10917,object
hardship_length,10917,float64
hardship_dpd,10917,float64
hardship_loan_status,10917,object
orig_projected_additional_accrued_interest,8651,float64
hardship_payoff_balance_amount,10917,float64
hardship_last_payment_amount,10917,float64
disbursement_method,2260668,object
debt_settlement_flag,2260668,object
debt_settlement_flag_date,34246,object
settlement_status,34246,object
settlement_date,34246,object
settlement_amount,34246,float64
settlement_percentage,34246,float64
settlement_term,34246,float64
