Feature,Importance
int_rate,321646.96375632286
term,70388.22177958488
fico_score,51226.18232738972
dti,37920.87605047226
log_annual_inc,30415.390395879745
loan_amnt,28371.62112879753
mort_acc,28198.300156593323
installment,26077.130864024162
log_revol_bal,16844.912883222103
emp_length,16183.45951294899
earliest_cr_line,15854.773753523827
revol_util,14283.911465525627
home_ownership_RENT,13336.889901995659
open_acc,13293.818055868149
sub_grade_A5,8324.220820367336
total_acc,6599.808740615845
sub_grade_B3,6500.28325176239
verification_status_Verified,5492.311870574951
verification_status_Source Verified,5476.331274271011
initial_list_status_w,4980.696796417236
pub_rec,4195.4298412799835
sub_grade_B2,3982.80988073349
sub_grade_B4,3821.1927778720856
pub_rec_bankruptcies,3593.6507571935654
purpose_small_business,2676.77473115921
purpose_credit_card,2127.2514744997025
addr_state_OR,2098.24432015419
addr_state_CO,2053.7586007118225
sub_grade_C1,2048.9119884967804
addr_state_WA,1928.621370434761
addr_state_CA,1914.6438841819763
sub_grade_B5,1787.2122485637665
sub_grade_C2,1684.0977756977081
sub_grade_C5,1510.9117460250854
home_ownership_OWN,1506.9393515586853
sub_grade_C3,1407.931128025055
addr_state_NY,1322.7228788137436
purpose_debt_consolidation,1283.083772301674
addr_state_SC,1073.3080950975418
addr_state_NJ,950.4128925800323
addr_state_FL,930.0770809650421
addr_state_GA,795.3909103870392
addr_state_LA,668.1639485359192
addr_state_OK,643.446900010109
purpose_home_improvement,636.739590883255
addr_state_NH,584.1662322282791
addr_state_MD,582.3437893390656
addr_state_AL,577.6541652679443
addr_state_KS,495.43763065338135
addr_state_IL,475.4542316198349
