feature,VIF
loan_amnt,65.17541534243561
installment,57.42627133153722
addr_state_CA,51.24132757317903
addr_state_TX,32.40347311424573
addr_state_NY,31.54798647287746
addr_state_FL,26.853927804023204
int_rate,26.834905527786503
purpose_debt_consolidation,23.957367541992923
purpose_credit_card,17.593580569369728
addr_state_IL,16.242519573033285
addr_state_NJ,15.829224443726917
addr_state_PA,14.564745813861562
addr_state_OH,14.17206307853012
addr_state_GA,13.481338311633845
addr_state_VA,12.4674176522839
addr_state_NC,11.865671679498993
addr_state_MI,11.370100059155615
addr_state_MD,10.244346955436562
addr_state_MA,10.1337830696
addr_state_AZ,9.992236635484163
addr_state_WA,9.952713635312938
addr_state_CO,9.66369318236574
sub_grade_C5,8.572814190046936
addr_state_MN,8.233661056666108
sub_grade_C4,7.978144154204513
addr_state_IN,7.541867403093939
sub_grade_C3,7.519378905065648
sub_grade_D1,7.4533247921098775
term,7.430347984474932
sub_grade_D2,7.375795622328926
sub_grade_D3,7.312964662219947
sub_grade_C2,7.289620085986047
sub_grade_D4,7.211493057437525
addr_state_MO,7.200005763560569
addr_state_TN,7.122421148518494
addr_state_NV,6.861696937679681
addr_state_CT,6.763748939374884
sub_grade_C1,6.7532104085334685
purpose_home_improvement,6.740697005795037
sub_grade_D5,6.540457983187669
addr_state_WI,6.450530255677706
purpose_other,6.102537454629814
sub_grade_E2,5.9578608661676045
addr_state_OR,5.942404760685889
sub_grade_E1,5.752626601707539
addr_state_AL,5.744298358404378
sub_grade_B5,5.701230148652921
addr_state_SC,5.681913823155009
sub_grade_E3,5.558328538084758
addr_state_LA,5.528221127219674
sub_grade_B4,5.44188733840369
sub_grade_E4,5.287257880019703
sub_grade_E5,5.037470424510401
addr_state_KY,4.9571525372721545
sub_grade_B3,4.714944599431253
addr_state_OK,4.5106204348391365
addr_state_KS,4.484641140524771
sub_grade_F1,4.246579277487985
addr_state_AR,4.200091586862412
addr_state_UT,4.077090654510084
sub_grade_B2,3.9398924800555695
sub_grade_F2,3.535113039015828
sub_grade_B1,3.3254735248598553
addr_state_NM,3.289691990396151
sub_grade_F3,3.202756202580373
addr_state_HI,3.135551148362394
addr_state_MS,3.0264491893145404
purpose_major_purchase,2.985613255045859
sub_grade_A5,2.811953946982136
sub_grade_F4,2.8096895612424775
addr_state_RI,2.7421754908469707
addr_state_NH,2.6534688550574645
total_acc,2.5604753804208733
sub_grade_F5,2.5307122620196805
open_acc,2.4767222483308835
addr_state_WV,2.2819824389048584
sub_grade_A4,2.2496989555659903
addr_state_MT,2.2182768641981565
sub_grade_G1,2.163638694943025
addr_state_DE,2.112238208042198
addr_state_DC,2.06460102210678
revol_util,2.0628706333047475
purpose_medical,2.0465713229715745
addr_state_WY,2.022456650440913
purpose_small_business,2.003964044992682
log_revol_bal,1.956129732324794
fico_score,1.953756706201269
addr_state_NE,1.951709037498279
addr_state_SD,1.8788718507334323
sub_grade_A3,1.8688088127781364
log_annual_inc,1.8491047502159175
sub_grade_A2,1.8411735262280269
addr_state_VT,1.8377735109997062
sub_grade_G3,1.8150019922875928
sub_grade_G2,1.7927276231122335
pub_rec_bankruptcies,1.7607565120660862
pub_rec,1.7314319007726902
purpose_moving,1.6896895777984464
mort_acc,1.6768132849694835
purpose_vacation,1.6766338926346875
home_ownership_RENT,1.6078207927793413
verification_status_Verified,1.5972920801825758
sub_grade_G5,1.5923743721822192
addr_state_ME,1.5778027425818482
sub_grade_G4,1.5705146954414355
addr_state_ID,1.5193028907290835
purpose_house,1.490093764350886
verification_status_Source Verified,1.4895322995231304
addr_state_ND,1.3843657859769545
dti,1.3485218794860911
earliest_cr_line,1.2650258045149025
home_ownership_OWN,1.1551443354843005
emp_length,1.1031556257436428
purpose_wedding,1.098335164488453
initial_list_status_w,1.0969984919040452
application_type_Joint App,1.0686475155670032
purpose_renewable_energy,1.0451539438043504
home_ownership_OTHER,1.0033505988474802
